gpgconf	2.4.9-4ubuntu2	installed
gpgsm	2.4.9-4ubuntu2	installed
gpgv	2.4.9-4ubuntu2	installed
grep	3.12-1	installed
groff-base	1.24.1-1	installed
grub-efi-arm64	2.14-2ubuntu1	installed
grub-efi-arm64-bin	2.14-2ubuntu1	installed
grub-efi-arm64-signed	1.215+2.14-2ubuntu1	installed
grub-efi-arm64-unsigned	2.14-2ubuntu1	installed
grub2-common	2.14-2ubuntu3	installed
gsettings-desktop-schemas	51~rc-0ubuntu1	installed
gsettings-ubuntu-schemas	0.0.7+21.10.20210712-0ubuntu4	installed
gst-audio-thumbnailer	1.1~alpha-1ubuntu1	installed
gst-video-thumbnailer	1.1~alpha-1ubuntu1	installed
gstreamer1.0-alsa:arm64	1.28.7-1	installed
gstreamer1.0-gl:arm64	1.28.7-1	installed
gstreamer1.0-gtk3:arm64	1.28.7-1	installed
gstreamer1.0-gtk4:arm64	0.15.2-1ubuntu1	installed
gstreamer1.0-libcamera:arm64	0.7.0-1ubuntu2	installed
gstreamer1.0-packagekit	1.3.6-1ubuntu1	installed
gstreamer1.0-pipewire:arm64	1.6.8-1ubuntu3	installed
gstreamer1.0-plugins-base:arm64	1.28.7-1	installed
gstreamer1.0-plugins-base-apps	1.28.7-1	installed
gstreamer1.0-plugins-extra:arm64	1.28.6-1ubuntu1	installed
gstreamer1.0-plugins-good:arm64	1.28.7-1	installed
gstreamer1.0-tools	1.28.6-1	installed
gstreamer1.0-x:arm64	1.28.7-1	installed
gtk-update-icon-cache	4.23.4+ds-3	installed
gtk2-engines-pixbuf:arm64	2.24.33-10	installed
gvfs:arm64	1.62.0-2	installed
gvfs-backends	1.62.0-2	installed
gvfs-common	1.62.0-2	installed
gvfs-daemons	1.62.0-2	installed
gvfs-fuse	1.62.0-2	installed
gvfs-libs:arm64	1.62.0-2	installed
gzip	1.14-1~exp2ubuntu3	installed
hdparm	9.65+ds-1.1build1	installed
heif-gdk-pixbuf:arm64	1.23.3-1	installed
heif-thumbnailer	1.23.3-1	installed
hicolor-icon-theme	0.18-2build1	installed
hostname	3.25build1	installed
hplip	3.24.4+dfsg0-0ubuntu10	installed
hplip-data	3.24.4+dfsg0-0ubuntu10	installed
htop	3.5.3-1	installed
hunspell-en-au	1:2020.12.07-4build1	installed
hunspell-en-ca	1:2020.12.07-4build1	installed
hunspell-en-gb	1:26.8.0.3-1	installed
hunspell-en-us	1:2020.12.07-4build1	installed
hunspell-en-za	1:26.8.0.3-1	installed
hunspell-fr-classical	1:7.7-1	installed
hwdata	0.411-1	installed
hwe-qcom-x1e-meta	34	installed
hyphen-en-ca	0.10ubuntu3	installed
hyphen-en-gb	1:26.8.0.3-1	installed
hyphen-en-us	2.8.9-3	installed
ibus	1.5.34-1ubuntu2	installed
ibus-data	1.5.34-1ubuntu2	installed
ibus-gtk:arm64	1.5.34-1ubuntu2	installed
ibus-gtk3:arm64	1.5.34-1ubuntu2	installed
ibus-gtk4:arm64	1.5.34-1ubuntu2	installed
ibus-libpinyin-common	1.16.5-6	installed
ibus-table	1.17.19-1	installed
ibus-table-cangjie-big	1.8.14-1build1	installed
ibus-table-cangjie3	1.8.14-1build1	installed
ibus-table-cangjie5	1.8.14-1build1	installed
ibverbs-providers:arm64	64.0-1ubuntu1	installed
ieee-data	20260625	installed
iio-sensor-proxy	3.9-1ubuntu1	installed
im-config	1.1	installed
inetutils-telnet	2:2.8-2ubuntu1	installed
info	7.2-5ubuntu2	installed
init	1.69	installed
init-system-helpers	1.69	installed
initramfs-tools-bin	0.151ubuntu2	installed
initramfs-tools-core	0.151ubuntu2	installed
inputattach	1:1.8.1-2build2	installed
install-info	7.2-5ubuntu2	installed
ipp-usb	0.9.31-2	installed
iproute2	6.19.0-1ubuntu2	installed
iptables	1.8.11-2ubuntu3	installed
iptsd	3.1.0+sl7.1	installed
iputils-ping	3:20250605-1ubuntu1	installed
iputils-tracepath	3:20250605-1ubuntu1	installed
iso-codes	4.20.1-1	installed
iw	6.17-1	installed
javascript-common	12+nmu1build1	installed
jq	1.8.2-1ubuntu1	installed
kbd	2.9.0-1ubuntu1	installed
kdump-tools	1:1.10.7ubuntu3	installed
kexec-tools	1:2.0.32-3ubuntu2	installed
keyboard-configuration	1.248ubuntu2	installed
klibc-utils	2.0.14-1ubuntu2	installed
kmod	34.2-2ubuntu3	installed
krb5-locales	1.22.1-3ubuntu2	installed
language-pack-en	1:26.10+20260909	installed
language-pack-en-base	1:26.10+20260527	installed
language-pack-gnome-en	1:26.10+20260909	installed
language-pack-gnome-en-base	1:26.10+20260527	installed
language-selector-common	0.230ubuntu	installed
language-selector-gnome	0.230ubuntu	installed
laptop-detect	0.17	installed
ldap-utils	2.6.13+dfsg-1ubuntu2	installed
less	668-1build1	installed
libaa1:arm64	1.4p5-51.1build1	installed
libaacs0:arm64	0.11.1-4build1	installed
libabsl20260526:arm64	20260526.0-1ubuntu5	installed
libabw-0.1-1:arm64	0.1.4-1	installed
libaccountsservice0:arm64	23.13.9-8ubuntu8	installed
libaccountsservice1:arm64	26.27.3-0ubuntu1	installed
libacl1:arm64	2.3.2-2	installed
libadwaita-1-0:arm64	1.10~beta.1-1ubuntu1	installed
libalgorithm-diff-perl	1.201-1	installed
libalgorithm-diff-xs-perl	0.04-9	installed
libalgorithm-merge-perl	0.08-5	installed
libao-common	1.2.2+20180113-1.4	installed
libao4:arm64	1.2.2+20180113-1.4	installed
libaom3:arm64	3.14.1-1	installed
libapparmor1:arm64	6.0.0~alpha1-0ubuntu1	installed
libappstream5:arm64	1.1.6-1	installed
libapt-pkg7.0:arm64	3.3.3	installed
libarchive13t64:arm64	3.8.9-1	installed
libargon2-1:arm64	0~20190702+dfsg-6	installed
libasan8:arm64	16.2.0-2ubuntu1	installed
libasound2-data	1.2.16.1-1	installed
libasound2t64:arm64	1.2.16.1-1	installed
libaspell15:arm64	0.60.8.2-3	installed
libass9:arm64	1:0.17.5-1	installed
libassuan9:arm64	3.0.2-2build1	installed
libasyncns0:arm64	0.8-8	installed
libatasmart4:arm64	0.19-6	installed
libatk-adaptor:arm64	2.61.90-1	installed
libatk-bridge2.0-0t64:arm64	2.61.90-1	installed
libatk1.0-0t64:arm64	2.61.90-1	installed
libatomic1:arm64	16.2.0-2ubuntu1	installed
libatopology2t64:arm64	1.2.16.1-1	installed
libatspi2.0-0t64:arm64	2.61.90-1	installed
libattr1:arm64	1:2.6.0-1	installed
libaudit-common	1:4.1.2-1ubuntu1	installed
libaudit1:arm64	1:4.1.2-1ubuntu1	installed
libauthen-sasl-perl	2.2000-1	installed
libavahi-client3:arm64	0.8-18ubuntu1.1	installed
libavahi-common-data:arm64	0.8-18ubuntu1.1	installed
libavahi-common3:arm64	0.8-18ubuntu1.1	installed
libavahi-core7:arm64	0.8-18ubuntu1.1	installed
libavahi-glib1:arm64	0.8-18ubuntu1.1	installed
libavahi-ui-gtk3-0:arm64	0.8-18ubuntu1.1	installed
libavc1394-0:arm64	0.5.4-6	installed
libavcodec62:arm64	7:8.1.2-2ubuntu2	installed
libavdevice62:arm64	7:8.1.2-2ubuntu2	installed
libavfilter11:arm64	7:8.1.2-2ubuntu2	installed
libavformat62:arm64	7:8.1.2-2ubuntu2	installed
libavutil60:arm64	7:8.1.2-2ubuntu2	installed
libayatana-appindicator3-1:arm64	0.5.94-1.1	installed
libayatana-ido3-0.4-0:arm64	0.10.4-1.1	installed
libayatana-indicator3-7:arm64	0.9.4-2.1	installed
libbdplus0:arm64	0.2.0-5	installed
libbinutils:arm64	2.47-6ubuntu1	installed
libblkid1:arm64	2.41.3-3ubuntu2	installed
libblockdev-crypto3:arm64	3.5.0-2	installed
libblockdev-fs3:arm64	3.5.0-2	installed
libblockdev-loop3:arm64	3.5.0-2	installed
libblockdev-mdraid3:arm64	3.5.0-2	installed
libblockdev-nvme3:arm64	3.5.0-2	installed
libblockdev-part3:arm64	3.5.0-2	installed
libblockdev-smart3:arm64	3.5.0-2	installed
libblockdev-swap3:arm64	3.5.0-2	installed
libblockdev-utils3:arm64	3.5.0-2	installed
libblockdev3:arm64	3.5.0-2	installed
libbluetooth3:arm64	5.87-3	installed
libbluray4:arm64	1:1.5.0-3	installed
libboost-filesystem1.90.0:arm64	1.90.0-6.1ubuntu1	installed
libboost-iostreams1.90.0:arm64	1.90.0-6.1ubuntu1	installed
libboost-locale1.90.0:arm64	1.90.0-6.1ubuntu1	installed
libboost-log1.90.0	1.90.0-6.1ubuntu1	installed
libboost-thread1.90.0:arm64	1.90.0-6.1ubuntu1	installed
libbpf1:arm64	1:1.6.3-1ubuntu1	installed
libbpfcc:arm64	0.35.0+ds-1ubuntu2	installed
libbrlapi0.8:arm64	6.9.1+repack-1ubuntu1	installed
libbrotli1:arm64	1.2.0-4	installed
libbs2b0:arm64	3.1.0+dfsg-8build1	installed
